playerName,height,weight,birthDate,country,url,goals,shots,penalties,foulsReceived,offSides,foulsCommited,recoveries,passesCutOff,entrancesWon,duels,cards,passes,goalAssists,dribbles,corners,ballLosses
Aritz Elustondo,180 cm,71 kg,27 de marzo de 1994 en Beasáin,España,https://www.marca.com/resultados/futbol/jugadores/d9/fd/aritz-elustondo/ficha/P200957.html,0,4,0,8,0,17,43,18,518,12,95,5,1,1,4,126
Aihen Muñoz,175 cm,68 kg,15 de agosto de 1997 en San Sebastián,España,https://www.marca.com/resultados/futbol/jugadores/c5/bc/aihen-munoz/ficha/P472145.html,0,2,0,6,0,15,48,4,474,13,128,0,0,9,33,177
Diego Rico,180 cm,78 kg,22 de febrero de 1993 en Burgos,España,https://www.marca.com/resultados/futbol/jugadores/e8/fa/diego-rico/ficha/P171129.html,0,6,0,25,1,26,89,19,689,16,155,3,0,14,50,260
Andoni Gorosabel,174 cm,70 kg,3 de agosto de 1996 en Arrasate,España,https://www.marca.com/resultados/futbol/jugadores/d7/09/andoni-gorosabel/ficha/P235227.html,0,2,0,14,0,14,54,9,573,16,121,2,0,9,29,142
Jon Pacheco,184 cm,77 kg,7 de enero de 2001,España,https://www.marca.com/resultados/futbol/jugadores/b8/c5/jon-pacheco/ficha/P449931.html,0,1,0,7,1,11,38,6,655,9,73,2,0,2,0,63
Robin Le Normand,187 cm,80 kg,10 de noviembre de 1996 en Pabu,Francia,https://www.marca.com/resultados/futbol/jugadores/f6/f7/robin-le-normand/ficha/P224919.html,0,5,0,23,2,28,107,23,1285,18,203,4,0,2,1,157
Aritz Arambarri,186 cm,76 kg,30 de enero de 1998 en Azkoitia,España,https://www.marca.com/resultados/futbol/jugadores/23/49/aritz-arambarri/ficha/P490310.html,0,0,0,0,0,1,3,0,32,1,4,0,0,0,0,6
Urko González de Zárate,,,19 de marzo de 2001 en Vitoria-Gasteiz,España,https://www.marca.com/resultados/futbol/jugadores/8b/55/urko-gonzalez-de-zarate/ficha/P514204.html,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jonathan Gómez,176 cm,71 kg,31 de agosto de 2003 en Keller,EstadosUnidos,https://www.marca.com/resultados/futbol/jugadores/b6/3e/jonathan-gomez/ficha/P450620.html,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Martín Zubimendi,180 cm,74 kg,1 de febrero de 1999 en San Sebastián,España,https://www.marca.com/resultados/futbol/jugadores/93/4b/martin-zubimendi/ficha/P481655.html,1,6,0,26,1,38,168,21,1304,23,214,10,2,6,3,240
Asier Illarramendi,179 cm,75 kg,7 de marzo de 1990 en Motrico,España,https://www.marca.com/resultados/futbol/jugadores/94/86/asier-illarramendi/ficha/P84086.html,1,6,0,12,0,18,51,13,474,13,105,4,0,4,3,80
Igor Zubeldia,181 cm,73 kg,29 de marzo de 1997 en Azkoitia,España,https://www.marca.com/resultados/futbol/jugadores/4c/90/igor-zubeldia/ficha/P216475.html,1,2,0,10,1,34,110,16,1101,14,166,5,1,4,3,162
Mikel Merino,188 cm,83 kg,21 de junio de 1996 en Pamplona,España,https://www.marca.com/resultados/futbol/jugadores/df/f1/mikel-merino/ficha/P195384.html,1,25,1,35,3,51,157,17,1066,35,334,6,8,17,19,338
Takefusa Kubo,173 cm,64 kg,3 de junio de 2001 en Kawasaki,Japón,https://www.marca.com/resultados/futbol/jugadores/10/df/takefusa-kubo/ficha/P219271.html,6,43,0,35,18,27,78,2,578,20,237,2,3,23,48,327
Ander Guevara,180 cm,73 kg,6 de julio de 1997 en Vitoria,España,https://www.marca.com/resultados/futbol/jugadores/d3/c4/ander-guevara/ficha/P431644.html,0,1,0,3,0,4,14,2,161,2,23,2,0,3,0,19
Robert Navarro,,,,,https://www.marca.com/resultados/futbol/jugadores/cd/5e/robert-navarro/ficha/P460265.html,0,7,0,6,5,8,22,2,119,3,62,2,0,7,15,83
David Silva,170 cm,67 kg,7 de enero de 1986 en Arguineguín,España,https://www.marca.com/resultados/futbol/jugadores/46/85/david-silva/ficha/P20664.html,1,13,0,21,3,20,87,11,792,12,141,3,4,17,16,197
Beñat Turrientes,181 cm,70 kg,30 de enero de 2002,España,https://www.marca.com/resultados/futbol/jugadores/a2/3f/benat-turrientes/ficha/P488026.html,0,0,0,1,0,2,7,0,43,3,16,0,0,1,4,14
